"Subject","Function"
"libpng","pngerror.c:png_error"
"libpng","pngerror.c:png_default_error"
"libpng","pngerror.c:png_longjmp"
"libpng","pngerror.c:png_safecat"
"libpng","pngerror.c:png_format_number"
"libpng","pngerror.c:png_benign_error"
"libpng","pngerror.c:png_chunk_error"
"libpng","pngerror.c:png_format_buffer"
"libpng","pngerror.c:png_app_warning"
"libpng","pngerror.c:png_app_error"
"libpng","pngerror.c:png_chunk_benign_error"
"libpng","pngerror.c:png_chunk_report"
"libpng","pngerror.c:png_fixed_error"
"libpng","pngerror.c:png_set_longjmp_fn"
"libpng","pngmem.c:png_malloc_warn"
"libpng","pngmem.c:png_malloc_base"
"libpng","pngerror.c:png_free_jmpbuf"
"libpng","pngmem.c:png_free"
"libpng","pngmem.c:png_free_default"
"libpng","pngerror.c:png_set_error_fn"
"libpng","pngerror.c:png_get_error_ptr"
"libpng","pngerror.c:png_safe_error"
"libpng","pngerror.c:png_safe_execute"
"libpng","png.c:png_image_free"
"libpng","pngget.c:png_get_valid"
"libpng","pngget.c:png_get_rowbytes"
"libpng","pngget.c:png_get_rows"
"libpng","pngget.c:png_get_image_width"
"libpng","pngget.c:png_get_image_height"
"libpng","pngget.c:png_get_bit_depth"
"libpng","pngget.c:png_get_color_type"
"libpng","pngget.c:png_get_filter_type"
"libpng","pngget.c:png_get_interlace_type"
"libpng","pngget.c:png_get_compression_type"
"libpng","pngget.c:png_get_x_pixels_per_meter"
"libpng","pngget.c:png_get_y_pixels_per_meter"
"libpng","pngget.c:png_get_pixels_per_meter"
"libpng","pngget.c:png_get_pixel_aspect_ratio"
"libpng","pngget.c:png_get_pixel_aspect_ratio_fixed"
"libpng","png.c:png_muldiv"
"libpng","pngget.c:png_get_x_offset_microns"
"libpng","pngget.c:png_get_y_offset_microns"
"libpng","pngget.c:png_get_x_offset_pixels"
"libpng","pngget.c:png_get_y_offset_pixels"
"libpng","pngget.c:png_get_pixels_per_inch"
"libpng","pngget.c:ppi_from_ppm"
"libpng","pngget.c:png_get_x_pixels_per_inch"
"libpng","pngget.c:png_get_y_pixels_per_inch"
"libpng","pngget.c:png_get_x_offset_inches_fixed"
"libpng","pngget.c:png_fixed_inches_from_microns"
"libpng","png.c:png_muldiv_warn"
"libpng","pngget.c:png_get_y_offset_inches_fixed"
"libpng","pngget.c:png_get_x_offset_inches"
"libpng","pngget.c:png_get_y_offset_inches"
"libpng","pngget.c:png_get_pHYs_dpi"
"libpng","pngget.c:png_get_channels"
"libpng","pngget.c:png_get_signature"
"libpng","pngget.c:png_get_bKGD"
"libpng","pngget.c:png_get_cHRM"
"libpng","pngget.c:png_get_cHRM_XYZ"
"libpng","pngget.c:png_get_cHRM_XYZ_fixed"
"libpng","pngget.c:png_get_cHRM_fixed"
"libpng","pngget.c:png_get_gAMA_fixed"
"libpng","pngget.c:png_get_gAMA"
"libpng","pngget.c:png_get_sRGB"
"libpng","pngget.c:png_get_iCCP"
"libpng","pngget.c:png_get_sPLT"
"libpng","pngget.c:png_get_eXIf"
"libpng","pngget.c:png_get_eXIf_1"
"libpng","pngget.c:png_get_hIST"
"libpng","pngget.c:png_get_IHDR"
"libpng","png.c:png_check_IHDR"
"libpng","png.c:png_gt"
"libpng","pngget.c:png_get_oFFs"
"libpng","pngget.c:png_get_pCAL"
"libpng","pngget.c:png_get_sCAL_fixed"
"libpng","png.c:png_fixed"
"libpng","pngget.c:png_get_sCAL"
"libpng","pngget.c:png_get_sCAL_s"
"libpng","pngget.c:png_get_pHYs"
"libpng","pngget.c:png_get_PLTE"
"libpng","pngget.c:png_get_sBIT"
"libpng","pngget.c:png_get_text"
"libpng","pngget.c:png_get_tIME"
"libpng","pngget.c:png_get_tRNS"
"libpng","pngget.c:png_get_unknown_chunks"
"libpng","pngget.c:png_get_rgb_to_gray_status"
"libpng","pngget.c:png_get_user_chunk_ptr"
"libpng","pngget.c:png_get_compression_buffer_size"
"libpng","pngget.c:png_get_user_width_max"
"libpng","pngget.c:png_get_user_height_max"
"libpng","pngget.c:png_get_chunk_cache_max"
"libpng","pngget.c:png_get_chunk_malloc_max"
"libpng","pngget.c:png_get_io_state"
"libpng","pngget.c:png_get_io_chunk_type"
"libpng","pngget.c:png_get_palette_max"
"libpng","pngmem.c:png_destroy_png_struct"
"libpng","pngmem.c:png_calloc"
"libpng","pngmem.c:png_malloc"
