"Subject","Fuzzer","Trial_Nr","Sat_Length","Delta","Crs_Trg_Timeout","Fct_Cov_Timeout","Dfc_Cov_Timeout","Crs_Trg_N_Bugs","Fct_Cov_N_Bugs","Dfc_Cov_N_Bugs","N_UCs","N_Diff_Bugs1","N_Diff_Bugs2","N_Diff_Timeout1","N_Diff_Timeout2","Ratio_Diff_Bugs1","Ratio_Diff_Bugs2","Ratio_Diff_Timeout1","Ratio_Diff_Timeout2"
"Gif2png","AFL",1,60,0,90,75,75,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,60,1,90,75,75,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,60,2,90,75,75,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,120,0,150,135,135,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,120,1,150,135,135,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,120,2,150,135,135,1,1,1,4,0,0,15,0,0,0,0.0104166666666667,0
"Gif2png","AFL",1,180,0,555,195,195,2,2,2,4,0,0,360,0,0,0,0.25,0
"Gif2png","AFL",1,180,1,540,195,195,2,2,2,4,0,0,345,0,0,0,0.239583333333333,0
"Gif2png","AFL",1,180,2,390,195,195,2,2,2,4,0,0,195,0,0,0,0.135416666666667,0
"Gif2png","AFL",1,240,0,615,255,255,2,2,2,4,0,0,360,0,0,0,0.25,0
"Gif2png","AFL",1,240,1,600,255,255,2,2,2,4,0,0,345,0,0,0,0.239583333333333,0
"Gif2png","AFL",1,240,2,450,255,255,2,2,2,4,0,0,195,0,0,0,0.135416666666667,0
"Gif2png","AFL",1,300,0,675,315,315,2,2,2,4,0,0,360,0,0,0,0.25,0
"Gif2png","AFL",1,300,1,660,315,315,2,2,2,4,0,0,345,0,0,0,0.239583333333333,0
"Gif2png","AFL",1,300,2,510,315,315,2,2,2,4,0,0,195,0,0,0,0.135416666666667,0
"Gif2png","AFL",1,360,0,735,375,375,2,2,2,4,0,0,360,0,0,0,0.25,0
"Gif2png","AFL",1,360,1,720,375,375,2,2,2,4,0,0,345,0,0,0,0.239583333333333,0
"Gif2png","AFL",1,360,2,570,375,375,2,2,2,4,0,0,195,0,0,0,0.135416666666667,0
"Gif2png","AFL",1,420,0,795,435,435,2,2,2,4,0,0,360,0,0,0,0.25,0
"Gif2png","AFL",1,420,1,780,435,435,2,2,2,4,0,0,345,0,0,0,0.239583333333333,0
